iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
PRI,North America,Puerto Rico,2020-03-31,174,47,,6,1,,60.821,16.429,,2.097,0.35,,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRI,North America,Puerto Rico,2020-04-01,239,65,,8,2,,83.542,22.721,,2.796,0.699,,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRI,North America,Puerto Rico,2020-04-02,286,47,,11,3,,99.971,16.429,,3.845,1.049,,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRI,North America,Puerto Rico,2020-04-03,316,30,45.143,12,1,1.714,110.457,10.486,15.78,4.195,0.35,0.599,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRI,North America,Puerto Rico,2020-04-04,378,62,44.857,15,3,1.857,132.129,21.672,15.68,5.243,1.049,0.649,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRI,North America,Puerto Rico,2020-04-05,452,74,50.286,18,3,2.143,157.996,25.867,17.577,6.292,1.049,0.749,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRI,North America,Puerto Rico,2020-04-06,475,23,49.714,20,2,2.143,166.035,8.04,17.378,6.991,0.699,0.749,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRI,North America,Puerto Rico,2020-04-07,513,38,48.429,21,1,2.143,179.318,13.283,16.928,7.341,0.35,0.749,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRI,North America,Puerto Rico,2020-04-08,573,60,47.714,23,2,2.143,200.291,20.973,16.678,8.04,0.699,0.749,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
PRI,North America,Puerto Rico,2020-04-09,620,47,47.714,24,1,1.857,216.72,16.429,16.678,8.389,0.35,0.649,,,,,,,,,,,,,,,,,,93.52,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
